               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.047163,            0.014754,                   0,              0.4471,               0.875,              0.6817,             0.28876,            0.034667,           0.0091497,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.045805,            0.014189,                   0,             0.44925,                0.75,             0.63242,             0.26714,            0.035007,           0.0090565,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.044923,            0.015636,                   0,              0.6925,              0.8125,             0.81102,             0.39705,              0.0327,            0.009133,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.043406,            0.015199,                   0,             0.69475,              0.8125,             0.84066,             0.44912,            0.035285,           0.0089484,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.042601,            0.015937,                   0,             0.74085,              0.8125,             0.84713,             0.41207,            0.035311,           0.0088217,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.041185,            0.016064,                   0,             0.68832,               0.875,             0.83547,             0.43029,            0.031756,            0.008915,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.040019,            0.013536,                   0,             0.74268,              0.9375,              0.8863,             0.44301,            0.030992,           0.0089369,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.039788,            0.014435,                   0,             0.81763,             0.84159,             0.90187,             0.43551,            0.032933,           0.0087753,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.040058,            0.015822,                   0,             0.82041,             0.85734,             0.90423,             0.44281,            0.031953,           0.0088139,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.038944,            0.014366,                   0,             0.82041,             0.85734,             0.90423,             0.44281,            0.031953,           0.0088139,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.040839,            0.014801,                   0,             0.82029,               0.875,             0.90678,             0.44605,            0.032037,           0.0087404,                   0,            0.000496,            0.000496,            0.000496
