               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.057375,             0.01332,                   0,             0.49874,              0.6875,             0.66914,             0.26735,            0.045108,           0.0079795,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.051271,            0.013182,                   0,              0.6024,              0.8125,             0.81445,             0.42231,            0.039224,           0.0082336,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.046994,            0.014996,                   0,             0.59051,               0.875,             0.81151,             0.46117,            0.034893,           0.0084485,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.046847,            0.014327,                   0,             0.65415,               0.875,             0.85395,              0.4842,            0.034475,           0.0084615,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.043846,            0.014973,                   0,             0.90848,                 0.5,             0.80128,             0.45199,            0.035865,           0.0081988,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.043239,            0.015359,                   0,              0.8517,              0.9375,             0.93517,             0.46563,            0.032969,            0.008274,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.042704,             0.01268,                   0,             0.49449,               0.875,             0.72784,             0.36437,            0.041042,           0.0080236,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.043647,            0.013461,                   0,             0.87145,              0.9375,             0.94041,             0.52689,            0.032078,           0.0083999,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040572,            0.015037,                   0,             0.81584,              0.8125,             0.87516,             0.44259,            0.036174,           0.0079393,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.044259,            0.013223,                   0,             0.81584,              0.8125,             0.87516,             0.44259,            0.036174,           0.0079393,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.047761,            0.013574,                   0,              0.6917,             0.84215,             0.81284,             0.34781,            0.039228,           0.0076711,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.046337,            0.014383,                   0,             0.77199,              0.8473,             0.85136,             0.40106,            0.038296,           0.0076671,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.041337,             0.01327,                   0,             0.88131,              0.9375,             0.94109,             0.55194,             0.03457,           0.0079043,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.043407,            0.014822,                   0,             0.97701,              0.9375,             0.96243,             0.54491,            0.033059,           0.0078145,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.039318,            0.012238,                   0,                   1,             0.92559,             0.96167,             0.58896,            0.030021,           0.0076948,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.039523,            0.011679,                   0,             0.95847,               0.875,             0.95466,             0.49188,            0.031867,           0.0075372,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.035597,            0.011193,                   0,             0.80107,              0.9375,                0.92,             0.52014,            0.033367,           0.0074814,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.041558,            0.013798,                   0,             0.91593,              0.9375,             0.95659,             0.43975,            0.033283,            0.007285,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.041375,            0.012687,                   0,             0.96621,              0.9375,             0.96167,             0.54174,            0.028539,           0.0074106,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.039743,            0.012966,                   0,             0.85247,              0.8125,              0.8506,             0.36991,            0.033816,           0.0073214,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.041146,            0.013402,                   0,             0.85247,              0.8125,              0.8506,             0.36991,            0.033816,           0.0073214,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039746,            0.011339,                   0,             0.84503,              0.8125,             0.85911,             0.40431,            0.034552,            0.007248,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.03689,            0.013825,                   0,             0.99496,              0.9375,               0.967,             0.49179,            0.031048,           0.0072357,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.038071,            0.011431,                   0,                   1,             0.93683,             0.96929,             0.57205,             0.02969,           0.0071988,                   0,            0.003961,            0.003961,            0.003961
