               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.05659,            0.026074,                   0,           0.0033333,                   1,               0.139,            0.041542,            0.032495,            0.010914,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.043133,            0.020501,                   0,           0.0033333,                   1,               0.139,            0.041542,            0.032495,            0.010914,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.050767,            0.021296,                   0,           0.0033333,                   1,               0.139,            0.041542,            0.032495,            0.010914,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.046116,            0.019124,                   0,           0.0033333,                   1,             0.11583,            0.027234,            0.031505,            0.010925,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.042133,            0.021057,                   0,           0.0033333,                   1,             0.11583,            0.027234,            0.031505,            0.010925,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.044322,            0.019042,                   0,           0.0033333,                   1,             0.11583,            0.027234,            0.031505,            0.010925,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.042676,            0.020304,                   0,           0.0063442,                   1,             0.15153,             0.04343,            0.031801,             0.01083,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.038289,            0.020454,                   0,           0.0063442,                   1,             0.15153,             0.04343,            0.031801,             0.01083,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.039897,            0.019616,                   0,           0.0063442,                   1,             0.15153,             0.04343,            0.031801,             0.01083,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.042283,            0.020993,                   0,           0.0033333,                   1,            0.081875,            0.022647,            0.032092,            0.010694,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.045347,             0.01929,                   0,           0.0033333,                   1,            0.081875,            0.022647,            0.032092,            0.010694,                   0,            0.000496,            0.000496,            0.000496
